plate.number,plate.id,well,sample.id,host,sample.name,host.id,treatment,time,individual
2,plate2vc,A05,hm18,Hordeum.murinum,Hm.Mock.t4.3,Hm,Mock,t4,3
1,plate1vf,H06,hm19,Hordeum.murinum,Hm.Mock.t4.4,Hm,Mock,t4,4
2,plate2vc,B01,hm2,Hordeum.murinum,Hm.Mock.t2.2,Hm,Mock,t2,2
1,plate1vf,G09,hm20,Hordeum.murinum,Hm.Mock.t4.5,Hm,Mock,t4,5
1,plate1vf,H11,hm21,Hordeum.murinum,Hm.Zpa796.t4.1,Hm,Zpa796,t4,1
1,plate1vf,F10,hm22,Hordeum.murinum,Hm.Zpa796.t4.2,Hm,Zpa796,t4,2
1,plate1vf,G01,hm23,Hordeum.murinum,Hm.Zpa796.t4.3,Hm,Zpa796,t4,3
1,plate1vf,H04,hm24,Hordeum.murinum,Hm.Zpa796.t4.4,Hm,Zpa796,t4,4
1,plate1vf,G08,hm25,Hordeum.murinum,Hm.Zpa796.t4.5,Hm,Zpa796,t4,5
1,plate1vf,G06,hm26,Hordeum.murinum,Hm.Zpa21.t4.1,Hm,Zpa21,t4,1
2,plate2vc,C09,hm27,Hordeum.murinum,Hm.Zpa21.t4.2,Hm,Zpa21,t4,2
2,plate2vc,A08,hm28,Hordeum.murinum,Hm.Zpa21.t4.3,Hm,Zpa21,t4,3
1,plate1vf,G02,hm29,Hordeum.murinum,Hm.Zpa21.t4.4,Hm,Zpa21,t4,4
2,plate2vc,A03,hm3,Hordeum.murinum,Hm.Mock.t2.3,Hm,Mock,t2,3
2,plate2vc,A06,hm30,Hordeum.murinum,Hm.Zpa21.t4.5,Hm,Zpa21,t4,5
2,plate2vc,C08,hm31,Hordeum.murinum,Hm.Mock.t7.1,Hm,Mock,t7,1
2,plate2vc,A02,hm32,Hordeum.murinum,Hm.Mock.t7.2,Hm,Mock,t7,2
2,plate2vc,B04,hm33,Hordeum.murinum,Hm.Mock.t7.3,Hm,Mock,t7,3
2,plate2vc,B12,hm34,Hordeum.murinum,Hm.Mock.t7.4,Hm,Mock,t7,4
2,plate2vc,C10,hm35,Hordeum.murinum,Hm.Mock.t7.5,Hm,Mock,t7,5
2,plate2vc,A10,hm36,Hordeum.murinum,Hm.Zpa796.t7.1,Hm,Zpa796,t7,1
2,plate2vc,B08,hm37,Hordeum.murinum,Hm.Zpa796.t7.2,Hm,Zpa796,t7,2
2,plate2vc,B03,hm38,Hordeum.murinum,Hm.Zpa796.t7.3,Hm,Zpa796,t7,3
1,plate1vf,H09,hm39,Hordeum.murinum,Hm.Zpa796.t7.4,Hm,Zpa796,t7,4
1,plate1vf,F09,hm4,Hordeum.murinum,Hm.Mock.t2.4,Hm,Mock,t2,4
2,plate2vc,B06,hm40,Hordeum.murinum,Hm.Zpa796.t7.5,Hm,Zpa796,t7,5
2,plate2vc,B11,hm41,Hordeum.murinum,Hm.Zpa21.t7.1,Hm,Zpa21,t7,1
